sale_id,game_id,platform_id,publisher_id,global_sales,,game_id,title,,,platform_id,platform,platform,,,publisher_id,publisher,publisher,,
176,55,13,11,3.38,,55,LEGO Batman: The Videogame,LEGO Batman: The Videogame,1,,,X360,X360,1,,,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,1
177,56,13,11,3.38,,56,LEGO Batman: The Videogame,LEGO Batman: The Videogame,1,,,X360,X360,1,,,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,1
223,57,12,8,1.3,,57,EA Playground,EA Playground,1,,,Wii,Wii,1,,,Electronic Arts,Electronic Arts,1
224,58,8,17,1.28,,58,Kid Icarus: Uprising,Kid Icarus: Uprising,1,,,3DS,3DS,1,,,Nintendo,Nintendo,1
225,59,10,1,1.28,,59,Manhunt,Manhunt,1,,,PS2,PS2,1,,,Take-Two Interactive,Take-Two Interactive,1
226,60,10,14,1.27,,60,.hack//Infection Part 1,.hack//Infection Part 1,1,,,PS2,PS2,1,,,Atari,Atari,1
178,61,13,11,3.38,,61,LEGO Batman: The Videogame,LEGO Batman: The Videogame,1,,,X360,X360,1,,,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,1
227,62,13,11,1.26,,62,LEGO The Lord of the Rings,LEGO The Lord of the Rings,1,,,X360,X360,1,,,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,1
229,63,10,20,1.25,,63,Lara Croft Tomb Raider: The Angel of Darkness,Lara Croft Tomb Raider: The Angel of Darkness,1,,,PS2,PS2,1,,,Eidos Interactive,Eidos Interactive,1
214,64,7,13,1.48,,64,Tom Clancy's Splinter Cell: Pandora Tomorrow,Tom Clancy's Splinter Cell: Pandora Tomorrow,1,,,XB,XB,1,,,Ubisoft,Ubisoft,1
230,65,10,19,1.24,,65,Baldur's Gate: Dark Alliance,Baldur's Gate: Dark Alliance,1,,,PS2,PS2,1,,,Virgin Interactive,Virgin Interactive,1
231,66,3,21,1.24,,66,Tales of Xillia,Tales of Xillia,1,,,PS3,PS3,1,,,Namco Bandai Games,Namco Bandai Games,1
172,67,5,21,3.73,,67,The Witcher 3: Wild Hunt,The Witcher 3: Wild Hunt,1,,,PS4,PS4,1,,,Namco Bandai Games,Namco Bandai Games,1
162,68,2,14,7.81,,68,Pac-Man,Pac-Man,1,,,2600,2600,1,,,Atari,Atari,1
232,69,16,17,1.19,,69,Captain Toad: Treasure Tracker,Captain Toad: Treasure Tracker,1,,,WiiU,WiiU,1,,,Nintendo,Nintendo,1
233,70,13,8,1.17,,70,Mirror's Edge,Mirror's Edge,1,,,X360,X360,1,,,Electronic Arts,Electronic Arts,1
234,71,13,8,1.17,,71,Mirror's Edge,Mirror's Edge,1,,,X360,X360,1,,,Electronic Arts,Electronic Arts,1
235,72,12,13,1.14,,72,Rabbids Go Home,Rabbids Go Home,1,,,Wii,Wii,1,,,Ubisoft,Ubisoft,1
180,73,10,8,3.28,,73,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,1,,,PS2,PS2,1,,,Electronic Arts,Electronic Arts,1
236,74,8,17,1.13,,74,Fantasy Life,Fantasy Life,1,,,3DS,3DS,1,,,Nintendo,Nintendo,1
237,75,3,9,1.12,,75,Castlevania: Lords of Shadow,Castlevania: Lords of Shadow,1,,,PS3,PS3,1,,,Konami Digital Entertainment,Konami Digital Entertainment,1
238,76,11,4,1.1,,76,Lode Runner,Lode Runner,1,,,NES,NES,1,,,Hudson Soft,Hudson Soft,1
228,77,13,11,1.26,,77,LEGO The Lord of the Rings,LEGO The Lord of the Rings,1,,,X360,X360,1,,,Warner Bros. Interactive Entertainment,Warner Bros. Interactive Entertainment,1
239,78,14,17,1.1,,78,Tales of Symphonia,Tales of Symphonia,1,,,GC,GC,1,,,Nintendo,Nintendo,1
240,79,6,14,1.09,,79,Dragon Ball Z: The Legacy of Goku II,Dragon Ball Z: The Legacy of Goku II,1,,,GBA,GBA,1,,,Atari,Atari,1
241,80,17,8,1.08,,80,MySims Agents,MySims Agents,1,,,DS,DS,1,,,Electronic Arts,Electronic Arts,1
243,81,3,13,1.08,,81,Prince of Persia,Prince of Persia,1,,,PS3,PS3,1,,,Ubisoft,Ubisoft,1
245,82,12,2,1.07,,82,Disney Universe,Disney Universe,1,,,Wii,Wii,1,,,Disney Interactive Studios,Disney Interactive Studios,1
246,83,15,7,1.06,,83,Diablo II: Lord of Destruction,Diablo II: Lord of Destruction,1,,,PC,PC,1,,,Vivendi Games,Vivendi Games,1
242,84,17,8,1.08,,84,MySims Agents,MySims Agents,1,,,DS,DS,1,,,Electronic Arts,Electronic Arts,1
247,85,4,20,1.04,,85,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver,1,,,PS,PS,1,,,Eidos Interactive,Eidos Interactive,1
248,86,13,15,1.01,,86,Ninja Gaiden II,Ninja Gaiden II,1,,,X360,X360,1,,,Tecmo Koei,Tecmo Koei,1
244,87,3,13,1.08,,87,Prince of Persia,Prince of Persia,1,,,PS3,PS3,1,,,Ubisoft,Ubisoft,1
207,88,12,2,1.73,,88,Disney Infinity,Disney Infinity,1,,,Wii,Wii,1,,,Disney Interactive Studios,Disney Interactive Studios,1
,,,,,,,,,88,,,,,88,,,,,88
