"sale_id","game_id","title","platform_id","platform","publisher_id","publisher","na_sales","eu_sales","jp_sales","other_sales","global_sales","created_at"
224,58,"Kid Icarus: Uprising",8,"3DS",17,"Nintendo","0.48","0.35","0.36","0.07","1.28","2025-05-04 16:28:08.174447"
225,59,"Manhunt",10,"PS2",1,"Take-Two Interactive","0.63","0.49","0","0.16","1.28","2025-05-04 16:28:08.174447"
226,60,".hack//Infection Part 1",10,"PS2",14,"Atari","0.49","0.38","0.26","0.13","1.27","2025-05-04 16:28:08.174447"
178,61,"LEGO Batman: The Videogame",13,"X360",11,"Warner Bros. Interactive Entertainment","2.03","1.03","0","0.32","3.38","2025-05-04 16:28:08.174447"
227,62,"LEGO The Lord of the Rings",13,"X360",11,"Warner Bros. Interactive Entertainment","0.63","0.51","0","0.11","1.26","2025-05-04 16:28:08.174447"
229,63,"Lara Croft Tomb Raider: The Angel of Darkness",10,"PS2",20,"Eidos Interactive","0.61","0.48","0","0.16","1.25","2025-05-04 16:28:08.174447"
214,64,"Tom Clancy's Splinter Cell: Pandora Tomorrow",7,"XB",13,"Ubisoft","0.82","0.59","0","0.07","1.48","2025-05-04 16:28:08.174447"
230,65,"Baldur's Gate: Dark Alliance",10,"PS2",19,"Virgin Interactive","0.61","0.48","0","0.16","1.24","2025-05-04 16:28:08.174447"
231,66,"Tales of Xillia",3,"PS3",21,"Namco Bandai Games","0.29","0.19","0.67","0.09","1.24","2025-05-04 16:28:08.174447"
172,67,"The Witcher 3: Wild Hunt",5,"PS4",21,"Namco Bandai Games","0.96","2","0.21","0.56","3.73","2025-05-04 16:28:08.174447"
162,68,"Pac-Man",2,"2600",14,"Atari","7.28","0.45","0","0.08","7.81","2025-05-04 16:28:08.174447"
232,69,"Captain Toad: Treasure Tracker",16,"WiiU",17,"Nintendo","0.56","0.36","0.19","0.09","1.19","2025-05-04 16:28:08.174447"
233,70,"Mirror's Edge",13,"X360",8,"Electronic Arts","0.51","0.51","0.01","0.13","1.17","2025-05-04 16:28:08.174447"
234,71,"Mirror's Edge",13,"X360",8,"Electronic Arts","0.51","0.51","0.01","0.13","1.17","2025-05-04 16:28:08.174447"
235,72,"Rabbids Go Home",12,"Wii",13,"Ubisoft","0.26","0.75","0","0.14","1.14","2025-05-04 16:28:08.174447"
180,73,"The Lord of the Rings: The Return of the King",10,"PS2",8,"Electronic Arts","1.5","1.28","0.05","0.46","3.28","2025-05-04 16:28:08.174447"
236,74,"Fantasy Life",8,"3DS",17,"Nintendo","0.33","0.37","0.37","0.06","1.13","2025-05-04 16:28:08.174447"
237,75,"Castlevania: Lords of Shadow",3,"PS3",9,"Konami Digital Entertainment","0.5","0.37","0.1","0.16","1.12","2025-05-04 16:28:08.174447"
238,76,"Lode Runner",11,"NES",4,"Hudson Soft","0","0","1.1","0","1.1","2025-05-04 16:28:08.174447"
228,77,"LEGO The Lord of the Rings",13,"X360",11,"Warner Bros. Interactive Entertainment","0.63","0.51","0","0.11","1.26","2025-05-04 16:28:08.174447"
239,78,"Tales of Symphonia",14,"GC",17,"Nintendo","0.54","0.21","0.31","0.04","1.1","2025-05-04 16:28:08.174447"
240,79,"Dragon Ball Z: The Legacy of Goku II",6,"GBA",14,"Atari","0.78","0.29","0","0.02","1.09","2025-05-04 16:28:08.174447"
241,80,"MySims Agents",17,"DS",8,"Electronic Arts","0.55","0.43","0","0.11","1.08","2025-05-04 16:28:08.174447"
243,81,"Prince of Persia",3,"PS3",13,"Ubisoft","0.47","0.41","0.03","0.18","1.08","2025-05-04 16:28:08.174447"
245,82,"Disney Universe",12,"Wii",2,"Disney Interactive Studios","0.67","0.3","0","0.1","1.07","2025-05-04 16:28:08.174447"
246,83,"Diablo II: Lord of Destruction",15,"PC",7,"Vivendi Games","1.03","0.02","0","0","1.06","2025-05-04 16:28:08.174447"
242,84,"MySims Agents",17,"DS",8,"Electronic Arts","0.55","0.43","0","0.11","1.08","2025-05-04 16:28:08.174447"
247,85,"Legacy of Kain: Soul Reaver",4,"PS",20,"Eidos Interactive","0.58","0.4","0","0.07","1.04","2025-05-04 16:28:08.174447"
248,86,"Ninja Gaiden II",13,"X360",15,"Tecmo Koei","0.65","0.22","0.05","0.1","1.01","2025-05-04 16:28:08.174447"
244,87,"Prince of Persia",3,"PS3",13,"Ubisoft","0.47","0.41","0.03","0.18","1.08","2025-05-04 16:28:08.174447"
207,88,"Disney Infinity",12,"Wii",2,"Disney Interactive Studios","1.15","0.44","0","0.14","1.73","2025-05-04 16:28:08.174447"
